3;1621496
4;1627229
2;1627444
1;1637483
8;1597519
5;1598361
6;1604641
7;1604805
12;1530011
11;1532680
10;1534606
9;1535497
13;1606990
16;1609019
14;1609739
15;1616273
17;1630060
19;1635781
20;1636542
18;1637320
21;1632372
24;1632905
22;1633793
23;1635048
28;1582286
27;1582538
26;1584025
25;1589467
30;1617518
31;1620244
32;1620442
29;1621683
35;1523793
33;1526130
36;1526351
34;1528696
38;1632392
40;1635333
39;1637523
37;1637850
41;1585966
42;1587997
43;1588961
44;1591559
48;1611322
47;1612185
45;1623795
46;1629047
50;1614224
49;1615606
51;1619719
52;1620559
55;1631808
56;1633627
53;1634983
54;1635465
60;1583223
59;1587391
57;1587692
58;1588241
63;1573448
62;1573820
61;1575866
64;1577764
67;1576791
66;1579537
65;1580921
68;1591493
69;1575743
71;1576205
70;1578450
72;1580660
76;1628553
75;1630099
73;1637562
74;1637800
77;1602171
80;1603617
79;1604223
78;1605881
83;1616745
81;1617448
84;1618678
82;1619620
88;1586577
85;1589210
86;1592537
87;1593277
91;1519352
90;1520001
92;1522804
89;1527686
95;1616157
94;1617223
93;1617522
96;1618670

